SER,LAT1,LNG1,LAT2,LNG2,Distance,Speed,Condition,TIME
1,18.928894,72.82123,18.93065,72.822389,0.236,19.309090909090905,Heavy,Monday 02:57 13-07-2015
2,18.936343,72.824052,18.938941,72.824073,0.295,48.27272727272727,Mild,Monday 02:57 13-07-2015
3,18.942878,72.823247,18.945253,72.822142,0.291,49.88571428571428,Mild,Monday 02:57 13-07-2015
4,18.955284,72.813328,18.955994,72.810957,0.266,43.52727272727273,Mild,Monday 02:57 13-07-2015
5,18.956,72.808167,18.954874,72.807652,0.157,6.350561797752809,Mild,Monday 02:57 13-07-2015
7,18.948713,72.799082,18.948459,72.798561,0.061,31.37142857142857,Medium,Monday 02:57 13-07-2015
8,18.948436,72.797315,18.949085,72.796031,0.154,27.720000000000002,Heavy,Monday 02:57 13-07-2015
9,18.950108,72.796269,18.949382,72.79782,0.192,20.94545454545455,Heavy,Monday 02:57 13-07-2015
10,18.955423,72.798752,18.954404,72.79817,0.134,19.296,Heavy,Monday 02:57 13-07-2015
11,18.958878,72.800716,18.956839,72.799632,0.255,30.6,Medium,Monday 02:57 13-07-2015
12,18.961283,72.801633,18.960705,72.801081,0.091,25.2,Mild,Monday 02:57 13-07-2015
13,18.964621,72.804841,18.964003,72.803307,0.185,16.24390243902439,None,Monday 02:57 13-07-2015
14,18.964789,72.804229,18.965824,72.803618,0.136,16.882758620689657,Mild,Monday 02:57 13-07-2015
15,18.966946,72.80343,18.968098,72.803376,0.132,29.700000000000003,None,Monday 02:57 13-07-2015
16,18.971493,72.804716,18.971969,72.804874,0.056,33.6,None,Monday 02:57 13-07-2015
17,18.972104,72.805066,18.971657,72.804849,0.055,22.0,None,Monday 02:57 13-07-2015
18,18.972297,72.805041,18.972875,72.80535,0.08,22.153846153846153,None,Monday 02:57 13-07-2015
19,18.973796,72.805936,18.973071,72.805582,0.097,18.378947368421052,None,Monday 02:57 13-07-2015
20,18.974724,72.806247,18.975446,72.806761,0.087,19.575,None,Monday 02:57 13-07-2015
21,18.976087,72.807383,18.975684,72.807026,0.054,24.3,None,Monday 02:57 13-07-2015
22,18.97645,72.808619,18.976967,72.809319,0.102,22.95,None,Monday 02:57 13-07-2015
23,18.976762,72.809317,18.976156,72.809057,0.071,25.56,Medium,Monday 02:57 13-07-2015
24,18.977678,72.811138,18.977693,72.810336,0.094,14.1,None,Monday 02:57 13-07-2015
25,18.978048,72.81202,18.97748,72.811573,0.497,16.414678899082567,None,Monday 02:57 13-07-2015
26,18.978162,72.812147,18.97837,72.813426,0.13,29.25,None,Monday 02:57 13-07-2015
27,18.979868,72.812791,18.978879,72.811941,0.143,46.8,Mild,Monday 02:57 13-07-2015
28,18.98071,72.813269,18.981651,72.814084,0.135,60.75000000000001,None,Monday 02:57 13-07-2015
29,18.983092,72.815113,18.98225,72.814737,0.099,44.550000000000004,Mild,Monday 02:57 13-07-2015
30,18.987883,72.813882,18.986868,72.813963,0.113,31.29230769230769,None,Monday 02:57 13-07-2015
31,18.986724,72.813879,18.988005,72.81374,0.141,31.724999999999998,None,Monday 02:57 13-07-2015
32,18.990721,72.814103,18.989468,72.813988,0.143,16.606451612903225,None,Monday 02:57 13-07-2015
33,18.990229,72.813881,18.991522,72.813982,0.162,16.200000000000003,Mild,Monday 02:57 13-07-2015
34,18.954466,72.807438,18.953457,72.806617,0.15,33.75,Medium,Monday 02:57 13-07-2015
35,18.952005,72.803763,18.951531,72.803066,0.093,13.392,None,Monday 02:57 13-07-2015
36,18.950762,72.801824,18.951323,72.802454,0.093,33.48,Medium,Monday 02:57 13-07-2015
